,in_row_id,in_ra,in_dec,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
881,1,344.609650562745,39.658712282541295,344.86745561,40.00831028,0,734,7,2,25,2,zr,1558515472515,1558,155851547,1,object,o,2021-04-08 12:22:17.498+00,2459313.0154745,30,20210408515474,2.21483994,2.17700005,-0.121344998,0,20.0366993,1536.5,1540.5,344.8674821593,40.00827923646,-0.0002813248773977,5.623891322856e-06,-5.663408106558e-06,-0.0002813228458923,345.42397047,40.44869501,344.28815396,40.4312567,344.31815501,39.56527538,345.43989316,39.58226844,2021-06-30 00:00:00+00,1
882,1,344.609650562745,39.658712282541295,344.89794793,40.01270435,0,734,7,2,25,2,zr,1988409962515,1988,198840996,1,object,o,2022-06-12 09:50:21.956+00,2459742.9099653,30,20220612409954,2.91732001,1.38999999,0.936892986,0,19.7998009,1536.5,1540.5,344.8980130595,40.01270877016,-0.0002812719186923,5.51146742519e-06,-5.550975651292e-06,-0.0002812698719486,345.45461348,40.45294554,344.31927486,40.4356698,344.34852552,39.56981092,345.46970428,39.58666253,2022-09-07 00:00:00+00,1
883,1,344.609650562745,39.658712282541295,344.86566973,39.99332317,0,734,7,2,25,1,zg,985202652515,985,98520265,1,object,o,2019-09-13 04:51:49.098+00,2458739.7026505,30,20190913202604,2.40528989,1.17299998,0.991526008,0,19.4680004,1536.5,1540.5,344.8656787007,39.99329848754,-0.0002812529055822,5.779595385966e-06,-5.819103638523e-06,-0.0002812508966382,345.42166487,40.43391674,344.2867286,40.41592587,344.31694627,39.55003471,345.43767646,39.5676996,2020-06-24 00:00:00+00,1
884,1,344.609650562745,39.658712282541295,344.88651358,40.01778998,33554432,734,7,2,25,2,zr,2029386402515,2029,202938640,1,object,o,2022-07-23 09:16:25.313+00,2459783.8864005,30,20220723386389,2.03592992,1.06500006,-0.238803998,0,20.0548,1536.5,1540.5,344.8865123921,40.01776183388,-0.0002812478566875,5.709321058944e-06,-5.751836975827e-06,-0.000281247589304,345.44271558,40.45824817,344.3075714,40.44047214,344.33740349,39.57461198,345.45855564,39.591977,2022-11-08 00:00:00+00,1
885,1,344.609650562745,39.658712282541295,344.86979113,39.99543511,0,734,7,2,25,3,zi,1367263682515,1367,136726368,1,object,o,2020-09-29 06:19:42.157+00,2459121.7636806,30,20200929263669,1.38801003,1.00800002,0.937749028,0,20.1436996,1536.5,1540.5,344.8698064688,39.99543153895,-0.0002812385529432,5.814360685487e-06,-5.853696369863e-06,-0.0002812379037424,345.42553894,40.43612661,344.29085384,40.41790402,344.32125546,39.55208494,345.44187642,39.56986825,2022-05-09 00:00:00+00,2
886,1,344.609650562745,39.658712282541295,344.87749355,40.01559423,0,734,7,2,25,2,zr,2291507922515,2291,229150792,1,object,o,2023-04-11 12:11:25.186+00,2460046.0079282,30,20230411507917,1.78641999,2.19099998,-0.707733989,0,20.2040005,1536.5,1540.5,344.8774787099,40.01560158039,-0.0002813234087054,5.522675667676e-06,-5.562191228659e-06,-0.0002813213630175,345.43428704,40.45572492,344.29842136,40.43873821,344.32786674,39.57276132,345.44967904,39.5893519,2023-07-07 00:00:00+00,1
887,1,344.609650562745,39.658712282541295,344.86806704,39.98385955,0,734,7,2,25,1,zg,1209487542515,1209,120948754,1,object,o,2020-04-24 11:42:04.304+00,2458963.9875463,30,20200424487546,2.46412992,1.91400003,0.0176433995,0,20.4566002,1536.5,1540.5,344.868074092,39.98384490536,-0.0002813076885464,5.604927596965e-06,-5.644441779166e-06,-0.0002813056545534,345.42436052,40.42424149,344.28916088,40.40682061,344.31895922,39.54083722,345.4401021,39.55782888,2021-11-03 00:00:00+00,2
888,1,344.609650562745,39.658712282541295,344.88726625,40.01418204,33554432,734,7,2,25,2,zr,2310478912515,2310,231047891,1,object,o,2023-04-30 11:29:38.132+00,2460064.978912,30,20230430478900,1.60476005,1.83599997,0.737199008,0,20.4838009,1536.5,1540.5,344.8872802585,40.01415545346,-0.0002812927905898,5.508112666749e-06,-5.547623786768e-06,-0.0002812907431663,345.4440025,40.45433579,344.30843136,40.43722825,344.33771472,39.57134353,345.4592817,39.58799095,2023-07-07 00:00:00+00,1
889,1,344.609650562745,39.658712282541295,344.86048002,40.02181688,0,734,7,2,25,2,zr,2288514522515,2288,228851452,1,object,o,2023-04-08 12:20:55.448+00,2460043.0145255,30,20230408514514,1.81076002,2.22099996,-0.941911995,0,19.7787991,1536.5,1540.5,344.86052448,40.02178858334,-0.0002813293368214,5.576532689143e-06,-5.616049622632e-06,-0.0002813272986285,345.41723553,40.46206069,344.28128022,40.44489239,344.31091675,39.57889224,345.43286153,39.59561692,2023-07-07 00:00:00+00,1
890,1,344.609650562745,39.658712282541295,344.86593268,40.00602758,0,734,7,2,25,2,zr,1554515752515,1554,155451575,1,object,o,2021-04-04 12:22:41.209+00,2459309.0157523,30,20210404515752,2.27584004,2.39499998,-0.490391999,0,19.9111996,1536.5,1540.5,344.865939606,40.00598802494,-0.0002813333651346,5.620812309943e-06,-5.657184637145e-06,-0.0002813259279365,345.42245973,40.44632908,344.28658402,40.42900714,344.31661659,39.56305215,345.43842838,39.57994141,2021-06-30 00:00:00+00,1
891,1,344.609650562745,39.658712282541295,344.86443053,39.99748946,0,734,7,2,25,1,zg,951405192515,951,95140519,1,object,o,2019-08-10 09:43:29.571+00,2458705.9051968,30,20190810405127,1.87541997,1.00800002,0.769403994,0,21.3299999,1536.5,1540.5,344.8644362868,39.99748872617,-0.0002812590372929,5.831983590206e-06,-5.871772620344e-06,-0.0002812561740918,345.42019999,40.4382502,344.28536633,40.41996796,344.31584675,39.55407467,345.43662011,39.57190797,2021-03-31 00:00:00+00,3
